question,option_a,option_b,option_c,option_d,correct_answer,category,difficulty,active,,,,,,
"Em ""Preciso de silêncio""","""de silêncio"" é:",Objeto Direto,Complemento Nominal,Sujeito,Aposto,1,Língua Portuguesa,2,true,,,,,
Qual é o MDC entre 12 e 18?,2,3,6,12,2,Matemática,2,true,,,,,,
"Qual é o tipo de sujeito em ""Vende-se casa""?",Simples,Composto,Oculto,Indeterminado,3,Língua Portuguesa,2,true,,,,,,
Se f(x) = x + 5, quanto vale f(10)?,5,10,15,20,2,Matemática,2,true,,,,,
Assinale a frase escrita corretamente:,Eu vi ele ontem,Eu o vi ontem,Vi ele hoje,Vi-o amanhã,1,Língua Portuguesa,2,true,,,,,,
Qual é a soma dos ângulos internos de um triângulo?,90°,180°,270°,360°,1,Matemática,2,true,,,,,,
"Qual é o sinônimo de ""inequívoco""?",Dúbio,Claro,Confuso,Ambíguo,1,Língua Portuguesa,2,true,,,,,,
Resolva: (3² + 4²) = ?,7,12,25,49,2,Matemática,2,true,,,,,,
"Em ""O livro que li era bom""","""que li"" é uma oração subordinada:",Adjetiva,Substantiva,Adverbial,Coordenada,0,Língua Portuguesa,2,true,,,,,
Qual é a probabilidade de sair cara ao lançar uma moeda justa?,1/4,1/3,1/2,3/4,2,Matemática,2,true,,,,,,
"Qual é a classe da palavra ""onde"" em ""O lugar onde nasci""?",Pronome Relativo,Advérbio,Conjunção,Preposição,0,Língua Portuguesa,2,true,,,,,,
Qual é o MMC entre 4 e 6?,8,12,16,24,1,Matemática,2,true,,,,,,
"Assinale a alternativa com uso correto de ""mas"" e ""mais"".",Ele estudou mas não passou,Ele quer mais dinheiro,Ele é inteligente mas preguiçoso,Todas estão corretas,3,Língua Portuguesa,2,true,,,,,,
Se um carro percorre 120 km em 2h, qual sua velocidade média?,40 km/h,50 km/h,60 km/h,80 km/h,2,Matemática,2,true,,,,,
"Qual é o objeto direto em ""Ela enviou a carta ao amigo""?",Ela,Enviou,A carta,Ao amigo,2,Língua Portuguesa,2,true,,,,,,
Qual é o valor de log₁₀(100)?,1,2,10,100,1,Matemática,2,true,,,,,,
"Em ""Cheguei cedo""","""cedo"" é classificado como:",Adjunto Adverbial de Tempo,Predicativo,Complemento Verbal,Sujeito,0,Língua Portuguesa,2,true,,,,,
Qual é a diagonal de um quadrado de lado 5√2?,5,10,10√2,25,1,Matemática,2,true,,,,,,
"Qual é o emprego correto de ""por que"" separado e sem acento?",Não sei por que ele veio,Por que você foi?,Os motivos por que lutei,Diga-me por que,2,Língua Portuguesa,2,true,,,,,,
